"","var.name","var.est","var.stat"
"1","N",27,0.31434
"2","Alpha1",0.106326488443516,0.0194588584836231
"3","Alpha2",0.0611718322497935,0.0102121414313459
"4","Alpha3",0.0540936992269904,0.00768368198753735
"5","Alpha4",0.049910419942864,0.00639418959114539
"6","Alpha5",0.0470240185732952,0.00582132839556182
"7","Alpha6",0.0446927477624151,0.00534049618959956
"8","Alpha7",0.0427272994611719,0.00498250850608462
"9","Alpha8",0.0409481531568578,0.00467362172722048
"10","Alpha9",0.0392518747803971,0.00433180111115328
"11","Alpha10",0.0376023581782107,0.00400159492297463
"12","Alpha11",0.0360275877709227,0.00371241260671452
"13","Alpha12",0.0345874158547576,0.003490671502444
"14","Alpha13",0.0332098457522381,0.00329158152914568
"15","Alpha14",0.0319187568959231,0.00311669782792541
"16","Alpha15",0.0307131867907234,0.00296399052598052
"17","Alpha16",0.0295587215075332,0.00283344383004852
"18","Alpha17",0.0284570313077615,0.00272977700340031
"19","Alpha18",0.027363313583905,0.00263641414658954
"20","Alpha19",0.0262550748211981,0.00254337643976961
"21","Alpha20",0.0251098946032015,0.00246787818214903
"22","Alpha21",0.023862743010029,0.00241562391921338
"23","Alpha22",0.0224856530110846,0.00243495814077585
"24","Alpha23",0.021039387087583,0.00253410028498814
"25","Alpha24",0.0195314448521791,0.00278229159685728
"26","Alpha25",0.0177274509237575,0.00367274341825762
"27","Alpha26",0.0156840899997719,0.00478482540836198
"28","Alpha27",0.0118453672620474,0.00720040484784569
"29","Lambda1",0.055793257473938,0.00230518306450356
"30","Lambda2",0.0500908706109865,0.00268661752607696
"31","Lambda3",0.0514813390735407,0.00311094642008595
"32","Lambda4",0.0519623893208056,0.00333761030448465
"33","Lambda5",0.0521610683382078,0.00356586821606782
"34","Lambda6",0.0521315801091619,0.00402018159494954
"35","Lambda7",0.0517472957361707,0.00465918803478334
"36","Lambda8",0.0508459055101631,0.00517540104425585
"37","Lambda9",0.049818250617697,0.00532283124146342
"38","Lambda10",0.0494786664178084,0.00522562302262092
"39","Lambda11",0.0497856454609959,0.0052505083644781
"40","Lambda12",0.0503834160172752,0.00538013882545471
"41","Lambda13",0.0507563143566638,0.00537632740084581
"42","Lambda14",0.0507491777794685,0.00532349740547792
"43","Lambda15",0.0506857957776153,0.00538346571880408
"44","Lambda16",0.050732614590464,0.00554331246620627
"45","Lambda17",0.0509245716081186,0.00583111796507957
"46","Lambda18",0.0516630854744298,0.00610531434098396
"47","Lambda19",0.0526102373852327,0.00633715161738683
"48","Lambda20",0.05365189341021,0.00648393819824944
"49","Lambda21",0.0541912436416562,0.00640631231285208
"50","Lambda22",0.0542563391564261,0.00638602897915079
"51","Lambda23",0.0540435835586234,0.00650528664802297
"52","Lambda24",0.0533913861109838,0.00675309119973159
"53","Lambda25",0.0789083555059218,0.28436471042194
"54","Lambda26",0.119432786846625,0.444838778214369
"55","Lambda27",0.479741173455934,1.04051759537787
